Code,Name,T_EPS,F_EPS,T_PER,F_PER,EV,T_EBITDA,F_EBITDA,T_EV_PER_EBITDA,F_EV_PER_EBITDA,T_BPS,F_BPS,T_PBR,F_PBR,T_P_PER_CF,T_ROE_PCT,IC_MIL,EV_PER_IC,ROIC_PCT,T_EPSG,F_EPSG,T_EBITG,F_EBITG,T_EBIT_MIL,F_EBIT_MIL,T_EV_PER_EBIT,F_EV_PER_EBIT,T_NET_DEBT_MIL,MKT_CAP_MIL,T_SPSG,F_SPSG,EPS_M,PRICE_M
A005930,삼성전자,8057,7189,9.718257416,10.89164001,362539929.7,83590669,99949086.67,4.337086113,3.627246049,50817,61466,1.540822953,1.273874988,0,17.07,241358009,1.502083694,13.7,39.46,66.56,-15.28,29.27314646,44483010,57504586.67,8.150076392,6.304539354,-104894044,467433973.7,8.09,21.47,24.95,1.16
A000660,SK하이닉스,3063,32216,63.30395038,6.018748448,159542351.6,18597803,46226435.48,8.578559068,3.451322818,92004,126382,2.107517064,1.534237471,0,3.56,78283330,2.038011816,4.47,-76.78,245.51,-67.44,630.3424792,4446333,32473458.67,35.88178204,4.913007672,18382693,141159658.6,3.78,107.14,57.9,2.11
A373220,LG에너지솔루션,3305,6311,99.69742814,52.21042624,79274286,2799021,6732700,28.32214764,11.77451632,80052,95399,4.116074552,3.453914611,0,5.75,21716339,3.650444304,3.48,-16.59,462.12,16.29,222.9130298,956308,3088043.137,82.89618617,25.67136613,2171286,77103000,23.54,-21.34,-22.69,-12.48
A207940,삼성바이오로직스,11411,16399,81.50030672,56.71077505,65547626.66,1328060.601,2069031.111,49.35590033,31.6803485,126233,164346,7.36732867,5.658793034,522.7655987,11.42,10421127.6,6.289878519,14.44,94.14,21.84,80.07,47.01280447,1019796.28,1499231.111,64.27521647,43.72082874,-644193.345,66191820,83.26,20.34,14.42,18.02
A005380,현대차,26592,50346,9.589350181,5.064950542,134786442.7,16158423,21193534.85,8.341559242,6.359790553,315142,417637,0.809159046,0.610578086,0,9.36,71436138,1.886810324,10.55,49.01,11.5,40.37,41.7515972,11110801,15749737.88,12.13111842,8.558011806,81385314,53401128.71,20.87,7.33,8.95,4.51
A068270,셀트리온,3821,5051,51.71421094,39.12096615,43081255.3,845852.6296,1664914.338,50.93234186,25.87595909,30040,87906,6.577896138,2.247855664,0,13.35,4473605.609,9.630096854,11.74,-6.59,285.83,-16.57,113.6912286,619462.6066,1323737.255,69.54617573,32.54517098,197868.1542,42883387.14,20.49,12.06,34.25,3.19
A000270,기아,13345,26324,7.733233421,3.920376842,29613034.63,9811133,15973183.33,3.018309367,1.853921915,98117,152608,1.051805498,0.676242399,15.95794031,14.57,17408628,1.701055054,26.94,13.63,7.73,15.05,78.87100472,7388534,13215945,4.007971627,2.240705045,-11652354,41265388.63,23.9,8.09,4.9,-8.43
A005490,POSCO홀딩스,36457,28230,8.846037798,11.424017,33785231,8068398.019,8055020,4.187353043,4.194307525,692323,771995,0.465823033,0.41774882,16.17676565,6.11,55468773.19,0.6090856,7.01,-51.97,96.76,-54.26,-11.82792494,4374819.223,3857368.889,7.722657617,8.7586207,6511009.321,27274221.68,12.25,-2.57,6.5,-18.97
A028260,삼성물산,10843,13917,13.29890252,10.36142847,25124848.82,4007917.362,4188210,6.268804105,5.998946761,163048,239283,0.884402139,0.602633702,0,7.16,16519554.1,1.520915678,4.13,25.02,8.94,34.85,-2.739001184,3380916.681,3288313.333,7.43137178,7.640649253,-511619.4142,25636468.23,25.27,5.54,6.93,-5.01
A035420,NAVER,4634,9963,33.79369875,15.71815718,25701524.85,1657153.137,2777920.274,15.50944465,9.252074328,151646,169264,1.032668188,0.925181964,282.1621622,3.29,3049041.148,8.42937947,15.54,-95.38,6.68,-49.05,86.66574858,1096244.569,2046313.131,23.4450647,12.55991786,268339.0321,25433185.82,20.71,10.78,1.43,-16.39
A006400,삼성SDI,27736,22541,11.1407557,13.70835367,23371195.57,4162288.92,3982890.196,5.614986373,5.86789854,246524,312665,1.253427658,0.988278189,0,12.52,11883049.76,1.966767458,13.49,66.88,8.79,57.99,-36.89076786,2698955.665,1703290.196,8.659347713,13.72120595,2122955.796,21248239.77,48.48,-14.06,-22.13,-28.31
A012330,현대모비스,26301,42466,8.383711646,5.192389205,14416538.23,4083584,4051373.016,3.530364069,3.558432702,411514,515050,0.535826242,0.428113775,47.8515625,6.8,18573483,0.776189271,9.1,5.98,14.33,2.71,-11.25758945,3185519,2826906.349,4.525648168,5.099757985,-6088880,20505418.23,24.85,-1.01,3.07,-2.86
A051910,LG화학,23574,23421,12.28047849,12.36070193,27888672.3,6220223,9024136.842,4.483548628,3.090453169,401795,436908,0.720516681,0.662610893,0,6.95,43062320,0.647635155,5.02,-49.72,185.25,-43.82,25.08916846,2824144,3532698.246,9.875088628,7.894439423,7452189,20436483.3,19.68,-7.96,-14.07,-27.26
A329180,HD현대중공업,-3966,8094,0,26.06869286,20474086.8,-106675.784,1270247.619,0,16.11818554,59566,69789,3.542289225,3.023399103,0,-6.47,8729302.719,2.345443555,-3.41,62.81,321.18,64.29,-377.2582656,-360952.784,1000771.429,-56.72234074,20.45830468,1742959.328,18731127.48,-6.4,20.11,51.13,62.06
A247540,에코프로비엠,2433,1076,70.85902178,160.2230483,17458716.57,406365.9935,405639.2157,42.96303543,43.04001166,13962,15175,12.34780117,11.36079077,0,24.26,2069744.844,8.435202349,15.8,112.47,155.1,188.01,-46.29425247,341567.1225,183441.1765,51.11357453,95.17337879,597764.8689,16860951.71,232.54,-49.77,-18.98,-18.87
A035720,카카오,3049,1054,12.02033454,34.77229602,13858747.17,1837507.575,1408319.082,7.54214424,9.840630116,22862,24041,1.603096842,1.524479015,0,13.62,7147334.274,1.939009236,-1.23,-3.04,150.84,-45.13,-47.73809079,1256076.764,656449.6981,11.03336004,21.11166661,-2395228.874,16253976.05,14.76,9.36,5.56,-21.1
A066570,LG전자,6616,12630,14.72188634,7.711797308,21586951.08,5680494,8172127.273,3.800189048,2.641533883,105473,128594,0.923459084,0.757422586,0,6.61,22846686,0.944861372,10.72,15.97,102.07,-32.44,70.8284324,2695374,4604465.152,8.008888964,4.688264624,5647654,15939297.08,12.93,5.45,11.56,-0.51
A196170,알테오젠,-156,359,0,831.4763231,15822799.19,-10758.9602,43900,0,360.4282277,2839,3237,105.1426559,92.2150139,0,-5.76,85992.79259,184.0014578,-34.52,-108.41,0,-10.35,-413.86827,-13413.27048,42100,-1179.637674,375.8384607,-42036.41326,15864835.61,-26.22,-23.43,47.42,57.44
A259960,크래프톤,10194,21255,31.88149892,15.29051988,12825868.45,765167.2544,1240535.088,16.76217634,10.3389808,108948,159381,2.983074494,2.039138919,34.96503497,10.29,1458262.638,8.795307588,38.21,-10.9,39.96,-13.14,74.15166242,657733.8224,1145454.386,19.50008957,11.1971883,-2738512.526,15564380.98,-8.93,40.24,28.07,25.97
A003670,포스코퓨처엠,1527,1904,131.3032089,105.3046218,16199938.43,217783.8876,576559.6491,74.38538547,28.09759312,31922,32627,6.280934779,6.145217151,0,4.87,3038354.031,5.331813957,4.35,-13.39,1428.61,-8.8,87.5736352,125517.0226,235436.8421,129.0656685,68.80800083,668562.8183,15531375.61,63.06,-9.76,-12.84,-27.49
